delivery_date,price,product_link,title
"Tuesday, December 13","$1,399.99",https://www.amazon.ca/LG-Ultra-Lightweight-Laptop-Obsidian-17Z95P-K-AR55A8/dp/B09K4C4ZL7/ref=sr_1_1_sspa?keywords=laptop&qid=1670191213&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExTk1GTko0VU45QlhVJmVuY3J5cHRlZElkPUEwODM3ODUxMUdaOU9LWTJETFNDRCZlbmNyeXB0ZWRBZElkPUEwNjA5NjU3M1RCOUs5QUFPOTZZUiZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"LG Gram 17 Inch Laptop with WQXGA (2560 x 1600) IPS Display, 17Z95P-K.AR55A8, i5-1155G7 | 8GB RAM | 512GB SSD, Black"
,,https://www.amazon.ca/ospublishing/story/315e87f2-5205-4604-b6b2-d09f6276d241/ref=sxin_15?pd_rd_w=FA7eM&content-id=amzn1.sym.48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0:amzn1.sym.48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0&pf_rd_p=48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0&pf_rd_r=SRSPKQ8TJASHSM8TDW1K&pd_rd_wg=Y2klf&pd_rd_r=02846b99-4b2b-460e-8b25-a6f7f0d67dbd&qid=1670191213&cv_ct_pg=search&cv_ct_wn=osp-multicontent&ascsubtag=amzn1.osa.315e87f2-5205-4604-b6b2-d09f6276d241.A2EUQ1WTGCTBG2.en_CA&linkCode=oas&cv_ct_id=amzn1.osa.315e87f2-5205-4604-b6b2-d09f6276d241.A2EUQ1WTGCTBG2.en_CA&asc_contentid=amzn1.osa.315e87f2-5205-4604-b6b2-d09f6276d241.A2EUQ1WTGCTBG2.en_CA&cv_ct_we=article-page&tag=geekospca-20&asc_contenttype=article&cv_ct_cx=laptop,
,,https://www.amazon.ca/gp/bestsellers/electronics/677252011/ref=sr_bs_6_677252011_1,
,,https://www.amazon.ca/ospublishing/story/d97a5711-80b9-4e49-909e-ec1a7ca8cc73/ref=sxin_15?pd_rd_w=FA7eM&content-id=amzn1.sym.48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0:amzn1.sym.48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0&pf_rd_p=48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0&pf_rd_r=SRSPKQ8TJASHSM8TDW1K&pd_rd_wg=Y2klf&pd_rd_r=02846b99-4b2b-460e-8b25-a6f7f0d67dbd&qid=1670191213&cv_ct_pg=search&cv_ct_wn=osp-multicontent&ascsubtag=amzn1.osa.d97a5711-80b9-4e49-909e-ec1a7ca8cc73.A2EUQ1WTGCTBG2.en_CA&linkCode=oas&cv_ct_id=amzn1.osa.d97a5711-80b9-4e49-909e-ec1a7ca8cc73.A2EUQ1WTGCTBG2.en_CA&asc_contentid=amzn1.osa.d97a5711-80b9-4e49-909e-ec1a7ca8cc73.A2EUQ1WTGCTBG2.en_CA&cv_ct_we=article-page&tag=plonsiteca-20&asc_contenttype=article&cv_ct_cx=laptop,
"Monday, December 12",$349.00,https://www.amazon.ca/VivoBook-Pentium%C2%AE-Microsoft-Personal-X515MA-AH09-CA/dp/B09HN325SY/ref=ice_ac_b_dpb?keywords=laptop&qid=1670191213&sr=8-5,"ASUS VivoBook 15 X515 Thin and Light Laptop, 15.6” HD Display,Intel® Pentium® Silver N5030,4GB RAM,128GB SSD,Windows 11 Home in S Mode + 1 Year Microsoft 365 Personal, X515MA-AH09-CA"
"Tuesday, December 13",$299.00,https://www.amazon.ca/Display-Processor-Microsoft-Included-L510MA-DS09-CA/dp/B09S3ZLW4Q/ref=sr_1_6?keywords=laptop&qid=1670191213&sr=8-6,"ASUS Laptop L510 Ultra Thin Laptop, 15.6” HD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365 Included, Star Black, L510MA-DS09-CA"
January 2 - 4,"$1,999.99",https://www.amazon.ca/LG-Display-GeForce-16GB%E3%85%A3512GB-Thunderbolt4/dp/B0BG6BY12V/ref=sr_1_2_sspa?keywords=laptop&qid=1670191213&sr=8-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExTk1GTko0VU45QlhVJmVuY3J5cHRlZElkPUEwODM3ODUxMUdaOU9LWTJETFNDRCZlbmNyeXB0ZWRBZElkPUEwNTAwNjAzMVJKN0xNVkpaRFpSTSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"LG Gram 17 Inch Laptop with WQXGA(2560 x 1600) IPS Anti Glare Display, Intel 12th Gen i7 with NVIDIA GeForce Graphic Card RTX 2050, 16GBㅣ512GB NVMe SSD, FHD Webcam, WiFi 6E, Thunderbolt4/USB-C, Black"
,,https://www.amazon.ca/ospublishing/story/d456384c-b4db-4eb7-a64f-780851dae247/ref=sxin_15?pd_rd_w=FA7eM&content-id=amzn1.sym.48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0:amzn1.sym.48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0&pf_rd_p=48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0&pf_rd_r=SRSPKQ8TJASHSM8TDW1K&pd_rd_wg=Y2klf&pd_rd_r=02846b99-4b2b-460e-8b25-a6f7f0d67dbd&qid=1670191213&cv_ct_pg=search&cv_ct_wn=osp-multicontent&ascsubtag=amzn1.osa.d456384c-b4db-4eb7-a64f-780851dae247.A2EUQ1WTGCTBG2.en_CA&linkCode=oas&cv_ct_id=amzn1.osa.d456384c-b4db-4eb7-a64f-780851dae247.A2EUQ1WTGCTBG2.en_CA&asc_contentid=amzn1.osa.d456384c-b4db-4eb7-a64f-780851dae247.A2EUQ1WTGCTBG2.en_CA&cv_ct_we=article-page&tag=rfdosp05-20&asc_contenttype=article&cv_ct_cx=laptop,
,,https://www.amazon.ca/ospublishing/story/579a2f70-a4bd-4f54-a63e-5b85029e4bb1/ref=sxin_15?pd_rd_w=FA7eM&content-id=amzn1.sym.48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0:amzn1.sym.48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0&pf_rd_p=48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0&pf_rd_r=SRSPKQ8TJASHSM8TDW1K&pd_rd_wg=Y2klf&pd_rd_r=02846b99-4b2b-460e-8b25-a6f7f0d67dbd&qid=1670191213&cv_ct_pg=search&cv_ct_wn=osp-multicontent&ascsubtag=amzn1.osa.579a2f70-a4bd-4f54-a63e-5b85029e4bb1.A2EUQ1WTGCTBG2.en_CA&linkCode=oas&cv_ct_id=amzn1.osa.579a2f70-a4bd-4f54-a63e-5b85029e4bb1.A2EUQ1WTGCTBG2.en_CA&asc_contentid=amzn1.osa.579a2f70-a4bd-4f54-a63e-5b85029e4bb1.A2EUQ1WTGCTBG2.en_CA&cv_ct_we=article-page&tag=pcmagca-20&asc_contenttype=article&cv_ct_cx=laptop,
"Tuesday, December 13","$1,254.31",https://www.amazon.ca/LG-Processor-Ultra-Slim-Laptop-15Z90N-V-AR52A8/dp/B094NTMLLQ/ref=sr_1_3_sspa?keywords=laptop&qid=1670191213&sr=8-3-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExTk1GTko0VU45QlhVJmVuY3J5cHRlZElkPUEwODM3ODUxMUdaOU9LWTJETFNDRCZlbmNyeXB0ZWRBZElkPUEwNjA5MzEzMVI3WE43UFo5VlZOOSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"LG Gram 15.6 inch Laptop with FHD (1920 x 1080) IPS Display, Intel i5 8GB RAM 256GB SSD, Long-Lasting Battery, Windows 10 Home; 15Z90N-V.AR52A8, Dark Silver"
,,https://www.amazon.ca/ospublishing/story/36c48a21-593e-4939-9e8b-4ff192667630/ref=sxin_15?pd_rd_w=FA7eM&content-id=amzn1.sym.48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0:amzn1.sym.48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0&pf_rd_p=48b9d8e6-f2d4-455e-b12e-4ca658d0b0e0&pf_rd_r=SRSPKQ8TJASHSM8TDW1K&pd_rd_wg=Y2klf&pd_rd_r=02846b99-4b2b-460e-8b25-a6f7f0d67dbd&qid=1670191213&cv_ct_pg=search&cv_ct_wn=osp-multicontent&ascsubtag=amzn1.osa.36c48a21-593e-4939-9e8b-4ff192667630.A2EUQ1WTGCTBG2.en_CA&linkCode=oas&cv_ct_id=amzn1.osa.36c48a21-593e-4939-9e8b-4ff192667630.A2EUQ1WTGCTBG2.en_CA&asc_contentid=amzn1.osa.36c48a21-593e-4939-9e8b-4ff192667630.A2EUQ1WTGCTBG2.en_CA&cv_ct_we=article-page&tag=bestcontca-20&asc_contenttype=article&cv_ct_cx=laptop,
January 3 - February 3,"$2,149.99",https://www.amazon.ca/LG-Laptop-Display-GeForce-17U70Q-P-AD78A8/dp/B09WLVLH6X/ref=sr_1_4_sspa?keywords=laptop&qid=1670191213&sr=8-4-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExTk1GTko0VU45QlhVJmVuY3J5cHRlZElkPUEwODM3ODUxMUdaOU9LWTJETFNDRCZlbmNyeXB0ZWRBZElkPUEwNTAwNTAzMTNHTVpaVE1VWk8zQSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"LG Ultra PC 17 Inch Laptop with 16:10 WQXGA (2560 x 1600) Anti-Glare IPS Display, 12th Gen Intel i7 32GB DDR5 1 TB, NVIDIA GeForce RTX 3050, Windows 11, Dark Silver, 80Wh Battery, 17U70Q-P.AD78A8"
"Wednesday, December 14",$179.00,https://www.amazon.ca/Chromebook-C223NA-Laptop-Celeron-Storage/dp/B08JHJXKNR/ref=sr_1_8?keywords=laptop&qid=1670191213&sr=8-8,"ASUS Chromebook C223 11.6"" HD Chromebook Laptop, Intel Dual-Core Celeron N3350 Processor, 4GB RAM, 32GB eMMC, Grey, Chrome OS C223NA-MB01-CB"
"Monday, December 12",$399.99,https://www.amazon.ca/HP-i3-1125G4-Processor-DDR4-2666-14-dq2020ca/dp/B0983XV8L6/ref=sr_1_9?keywords=laptop&qid=1670191213&sr=8-9,"HP Laptop 14 inch, Intel® Core™ i3-1125G4 Processor, Intel® UHD Graphics, 4 GB DDR4-2666 MHz RAM, Windows 10 Home (14-dq2020ca, 2021 Model)"
,,https://www.amazon.ca/ospublishing/story/315e87f2-5205-4604-b6b2-d09f6276d241/ref=sxin_24?cv_ct_pg=search&cv_ct_wn=osp-single-source-pecos-desktop&linkCode=oas&cv_ct_id=amzn1.osa.315e87f2-5205-4604-b6b2-d09f6276d241.A2EUQ1WTGCTBG2.en_CA&asc_contentid=amzn1.osa.315e87f2-5205-4604-b6b2-d09f6276d241.A2EUQ1WTGCTBG2.en_CA&cv_ct_we=article-page&content-id=amzn1.sym.8689b7a4-070a-4c4b-a8cd-529c3ace3c10:amzn1.sym.8689b7a4-070a-4c4b-a8cd-529c3ace3c10&qid=1670191213&ascsubtag=amzn1.osa.315e87f2-5205-4604-b6b2-d09f6276d241.A2EUQ1WTGCTBG2.en_CA&pf_rd_p=8689b7a4-070a-4c4b-a8cd-529c3ace3c10&pf_rd_r=SRSPKQ8TJASHSM8TDW1K&pd_rd_wg=Y2klf&pd_rd_w=87OcA&tag=geekospca-20&asc_contenttype=article&pd_rd_r=02846b99-4b2b-460e-8b25-a6f7f0d67dbd&cv_ct_cx=laptop,
"Monday, December 12",$649.99,https://www.amazon.ca/Acer-Aspire-R5-5500U-Silver-A515-45-R74Z/dp/B09J1MXS2Z/ref=sr_1_10?keywords=laptop&qid=1670191213&sr=8-10,"Acer Aspire 5, 15.6"" FHD IPS, AMD Ryzen R5-5500U, 8GB DDR4, 256GB SSD, Win 11, Silver Laptop, A515-45-R74Z"
"Tuesday, December 13","$1,399.99",https://www.amazon.ca/LG-Gram-Inch-Laptop-Ultra-Lightweight/dp/B09K4C85XS/ref=sr_1_50_sspa?keywords=laptop&qid=1670191216&sr=8-50-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyWThFSkFMTDM1N0lYJmVuY3J5cHRlZElkPUEwNjkwMTgxM1c1RUI3NTU5MVImZW5jcnlwdGVkQWRJZD1BMDI5MTM5NTNIWE5JTlg3QzAxRjgmd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"LG Gram 14 Inch Laptop with 16:10 IPS WUXGA (1920 x 1200) Display, 999g Ultra-Light, 14Z95P-K.AA75A8, i7-1195G7 | 16GB RAM | 512GB SSD, Black"
January 2 - 4,"$1,999.99",https://www.amazon.ca/LG-Display-GeForce-16GB%E3%85%A3512GB-Thunderbolt4/dp/B0BG6BY12V/ref=sr_1_49_sspa?keywords=laptop&qid=1670191216&sr=8-49-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyWThFSkFMTDM1N0lYJmVuY3J5cHRlZElkPUEwNjkwMTgxM1c1RUI3NTU5MVImZW5jcnlwdGVkQWRJZD1BMDUwMDYwMzFSSjdMTVZKWkRaUk0md2lkZ2V0TmFtZT1zcF9hdGZfbmV4dCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,"LG Gram 17 Inch Laptop with WQXGA(2560 x 1600) IPS Anti Glare Display, Intel 12th Gen i7 with NVIDIA GeForce Graphic Card RTX 2050, 16GBㅣ512GB NVMe SSD, FHD Webcam, WiFi 6E, Thunderbolt4/USB-C, Black"
"Tuesday, December 13",$999.00,https://www.amazon.ca/Acer-Nitro-i7-11800H-AN515-57-Manufacture/dp/B09P4TPBVS/ref=sr_1_55?keywords=laptop&qid=1670191216&sr=8-55,"Acer Nitro 5 - 15.6"" 144 HZ Display Gaming Laptop Intel i7-11800H GEFORCE RTX3050 16GB Ram 512GB SSD AN515-57 (1 yr Manufacture Warranty) (Renewed)"
"Wednesday, December 14",$529.00,https://www.amazon.ca/VivoBook-Celeron-Microsoft-Personal-J1401KA-AS01-CA/dp/B09T8S3N4D/ref=sr_1_54?keywords=laptop&qid=1670191216&sr=8-54,"ASUS VivoBook Go 14 Flip Thin and Light 2-in-1 Laptop, 14” HD Touch, Intel Celeron N4500, 4GB RAM, 128GB eMMC, Windows 11 Home in S Mode + Microsoft 365 Personal 1-Year, J1401KA-AS01-CA"
"Tuesday, December 13",$559.99,https://www.amazon.ca/2022Lenovo-IdeaPad-15-6-Touchscreen-Laptop/dp/B09VYBPSJG/ref=sr_1_53?keywords=laptop&qid=1670191216&sr=8-53,"2022Lenovo IdeaPad 3 15.6"" HD Touchscreen Laptop - Intel Core i3-1115G4, 8GB RAM, 256GB SSD, Windows 11 S Mode - Platinum Grey (81X800ENUS)"
,,https://www.amazon.ca/gp/bestsellers/electronics/24088204011/ref=sr_bs_11_24088204011_1,
"Monday, December 12",$399.95,https://www.amazon.ca/VivoBook-Celeron-Microsoft-Personal-J401MA-AB02T-CA/dp/B0967NSL2C/ref=sr_1_14?keywords=laptop&qid=1670191213&sr=8-14,"ASUS VivoBook Flip 14 Thin and Light 2-in-1 Laptop, 14” HD Touch, Intel Celeron N4020, 4GB RAM, 128GB Storage,Windows 10 Home in S Mode + includes Microsoft 365 Personal 1-year, J401MA-AB02T-CA"
"Monday, December 12",$699.99,https://www.amazon.ca/Acer-Nitro5-Laptop-i5-11400H-3200MHz/dp/B09SVD8KMX/ref=sr_1_13?keywords=laptop&qid=1670191213&sr=8-13,"Acer Nitro5 Laptop, 15.6"" FHD, Intel Core i5-11400H, 8GB DDR4 3200MHz, 256GB PCIe SSD - AN515-57-58HN"
